Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
AALM11,AURA ALMAS MINERACAO S.A. (*) (**),13/07/2026,"DI + 4,35%",1.9482,1.5998,1.786,0.0447,1.7414,1.8308,529.998326,102.9452,294.88,,
AALR13,CENTRO DE IMAGEM DIAGNOSTICOS S/A (*) (**),04/10/2027,"DI + 2,75%",10.079,7.3592,9.2664,1.9148,7.3517,11.1813,931.254902,91.0022,379.04,,
AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),11/03/2034,"DI + 3,9%",2.9684,2.6343,2.9221,0.465,2.4572,3.3872,1048.744175,104.3012,1130.38,,
AEGP14,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),05/02/2025,"DI + 1,8%",0.65,0.2406,0.4558,0.258,0.1978,0.7139,511.112842,100.4812,91,,
AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),12/04/2027,"DI + 2,15%",1.6612,1.4,1.4833,0.0904,1.3928,1.5738,1066.305914,100.8704,334.09,,
AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),04/10/2028,"DI + 1,9%",1.9372,1.6994,1.8298,0.142,1.6878,1.972,1060.682169,100.165,603.03,,
AEGPA1,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),02/09/2029,"DI + 2,45%",2.4681,2.1844,2.3014,0.0971,2.2043,2.3987,1012.892689,100.4477,775.83,,
AEGPA3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),15/03/2026,DI + 3%,2.131,1.893,2.0175,0.1592,1.8584,2.1768,1016.807228,101.3148,343.51,0.1,
AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/10/2028,"DI + 3,47%",2.5555,2.2811,2.3944,0.1237,2.2707,2.5181,1081.794501,102.5553,610.27,,
AEGPA7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2026,"DI + 2,75%",2.0986,1.8,1.9898,0.2393,1.7504,2.2292,1016.821344,101.323,446.19,,
AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),25/06/2029,"DI + 2,75%",2.5147,2.1989,2.37,0.141,2.229,2.511,1043.784593,101.187,803.51,,
AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),15/09/2028,"DI + 2,95%",2.4195,2.1,2.2564,0.0743,2.182,2.3308,1022.813781,101.9147,707.97,,
AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,15/01/2026,"DI + 2,9%",12.5741,9.8792,12.0595,1.9636,10.0959,14.0233,642.455527,93.862,184.63,,
AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,31/07/2026,DI + 2%,--,8.8366,12.0749,3.0848,8.9901,15.1598,904.58551,88.7664,315.89,,
AESB11,AES BRASIL ENERGIA S.A. (*) (**),10/03/2025,"DI + 2,3%",1.3842,1.2553,1.3285,0.0667,1.2619,1.3953,307.695033,100.425,112,,
AETE11,AETE - AMAZONIA EMPRESA TRANSMISSORA DE ENERGIA S.A. (*) (**),10/09/2026,"DI + 2,7%",2,1.5,1.75,0,1.75,1.75,657.392364,101.4391,387.82,,
AGAU13,AGASUS S.A. (*),15/03/2027,"DI + 4,5%",4.2793,3.7532,3.9673,0.0654,3.9019,4.0327,1012.922094,100.8871,435.75,,
ALGA19,ALGAR TELECOM S/A (*) (**),10/10/2024,"DI + 0,7%",0.5,0.1113,0.2871,0.0403,0.2468,0.3275,1051.261265,100.0179,11,,
ALGA28,ALGAR TELECOM S/A,15/02/2026,"DI + 0,9%",0.6789,0.4686,0.5653,0.0843,0.481,0.6497,10153.911015,100.2825,214.03,,
ALGAA1,ALGAR TELECOM S/A (*),15/07/2028,"DI + 1,6%",0.9978,0.5711,0.7697,0.2541,0.5156,1.024,1046.884586,102.2337,679.53,,
ALGAA2,ALGAR TELECOM S/A (*),15/01/2029,"DI + 1,55%",1.1508,0.9308,1.0439,0.0481,0.9958,1.0921,1039.429724,101.516,759.83,,
ALGTA3,ALGAR TELECOM S/A (*),17/02/2027,DI + 2%,1.2074,0.8695,1.0574,0.0406,1.0168,1.0981,1024.750326,101.1759,318.03,,
ALMC12,ALUBAR METAIS E CABOS S.A (*) (**),10/06/2027,"DI + 4,8%",5,4.0257,4.6029,0.1591,4.4438,4.7621,786.327491,100.271,362.5,0.45,
ALPA12,ALPARGATAS S.A.,12/12/2027,"DI + 1,35%",1.3,0.9923,1.1906,0.1211,1.0696,1.3118,1038.315345,100.4134,660.75,,
ALSO15,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),15/03/2027,"DI + 1,43%",0.9544,0.5286,0.7601,0.0171,0.743,0.7773,1012.094616,100.8883,336.82,,
ALSO16,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),04/10/2024,"DI + 1,35%",--,--,0.884,0.0804,0.8036,0.9646,1020.211852,101.0218,7,,
ALSO25,ALIANSCE SONAE SHOPPING CENTER S/A (*) (**),15/03/2029,"DI + 1,55%",1.1316,0.8326,0.9904,0.0925,0.898,1.083,1020.948645,101.7675,800.06,,
ALSR12,ALSOL ENERGIAS RENOVAVEIS S/A (*) (**),15/03/2025,"DI + 2,35%",1.8,1.3066,1.5572,0.0219,1.5352,1.5792,1007.064677,100.3617,117,,
ALTF11,ALTHAIA S.A. INDUSTRIA FARMACEUTICA (*) (**),15/01/2027,"DI + 2,3%",2.2455,1.8772,2.0401,0.075,1.9651,2.1152,1029.564365,100.3999,395.51,0.35,
ALUP17,ALUPAR INVESTIMENTO S/A (*) (**),15/10/2025,"DI + 1,4%",0.8415,0.3676,0.618,0.0495,0.5685,0.6675,1057.228625,100.3974,129.33,0.35,
AMBP16,AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**),25/04/2029,"DI + 2,75%",2.7905,2.1798,2.4786,0.2094,2.2692,2.6881,1054.747079,100.7266,690.36,0.35,
ANHB10,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),21/10/2026,"DI + 1,2%",0.6015,0.3,0.452,0.0305,0.4215,0.4826,380.643399,100.7247,245.75,,
ANHBA2,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),04/11/2026,"DI + 1,3%",0.7457,0.2352,0.5113,0.1453,0.3661,0.6567,1057.610342,101.118,358.78,,
ANHBA3,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*) (**),15/09/2027,"DI + 1,2%",0.781,0.3222,0.5601,0.2435,0.3166,0.8037,1016.988229,101.3825,545.87,,
ANHBA4,CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*),14/06/2028,"DI + 2,14%",1.2071,0.9209,1.0753,0.0295,1.0459,1.1049,1064.638388,102.8194,670.2,,
APPSB2,AUTOPISTA PLANALTO SUL S/A (*),15/09/2028,"DI + 2,15%",1.9656,1.6246,1.7998,0.0019,1.7979,1.8018,1010.156495,100.6753,494.32,,
APRB28,AUTOPISTA REGIS BITTENCOURT S/A (*),15/06/2027,"DI + 0,86%",0.842,0.55,0.689,0.0368,0.6522,0.7258,704.436839,100.255,378.34,,
ARML12,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),25/11/2028,"DI + 2,5%",1.3,1.0998,1.1971,0.0078,1.1893,1.205,1066.876196,102.2762,446.2,,
ARML13,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**),04/11/2029,"DI + 2,25%",1.3832,1.05,1.2341,0.0325,1.2016,1.2667,1085.657427,103.4119,849.98,,
ARML14,ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*),15/03/2032,"DI + 1,9%",1.6242,1.2527,1.4175,0.0397,1.3777,1.4573,1024.635882,102.1253,1119.54,,
ARTRA1,ARTERIS S/A (*) (**),11/03/2027,"DI + 1,65%",1.5414,1.3,1.4128,0.0798,1.333,1.4927,1007.723341,100.3087,332.64,,
ARTRA4,ARTERIS S/A (*),24/08/2028,"DI + 2,7%",2.2231,1.8735,2.0781,0.1964,1.8817,2.2745,1025.967607,101.4744,608.07,,
ARTRA5,ARTERIS S/A (*),12/04/2029,"DI + 2,4%",2.4064,1.9947,2.0803,0.2234,1.857,2.3038,1067.273753,100.8484,681.55,0.35,
ASAI12,SENDAS DISTRIBUIDORA S/A (*) (**),20/05/2026,"DI + 1,7%",1.1952,0.95,1.0563,0.0323,1.024,1.0887,1049.619603,100.6598,261.2,,
ASAI14,SENDAS DISTRIBUIDORA S/A (*),26/11/2027,"DI + 1,75%",1.209,0.9851,1.0937,0.0556,1.0381,1.1493,1055.561974,101.4455,559.5,,
ASAI18,SENDAS DISTRIBUIDORA S/A (*),22/12/2027,"DI + 1,85%",--,--,1.3581,0.1512,1.207,1.5094,1044.933827,101.282,663.62,,
ASAI19,SENDAS DISTRIBUIDORA S/A (*),25/03/2029,"DI + 1,25%",1.4266,1.2473,1.298,0.0789,1.2191,1.377,998.48016,99.848,808.6,,
ASAI22,SENDAS DISTRIBUIDORA S/A (*),20/05/2028,"DI + 1,95%",1.3815,1.0873,1.2473,0.0053,1.242,1.2527,1062.078406,101.7643,638.17,,
ASAI28,SENDAS DISTRIBUIDORA S/A (*),22/12/2028,"DI + 1,95%",1.5238,1.1519,1.3388,0.0198,1.319,1.3586,1052.258497,101.9653,817.07,,
ASAIA0,SENDAS DISTRIBUIDORA S/A (*),20/06/2029,"DI + 1,25%",1.3996,1.0726,1.2472,0.0194,1.2278,1.2666,1029.725865,100.009,820.97,0.35,
BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),04/11/2025,"DI + 2,65%",2.123,1.6961,1.9549,0.0719,1.883,2.0269,703.676791,100.3835,142.17,,
BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),07/10/2027,"DI + 1,45%",0.9285,0.6688,0.7983,0.0744,0.7239,0.8729,1067.427066,101.1109,432.66,0.35,
BCPSA3,CLARO S/A,27/01/2026,"DI + 1,35%",--,--,1.0146,0.2417,0.7729,1.2564,1023.158789,100.4142,314.27,,
BCPSA4,CLARO S/A,20/02/2027,"DI + 1,2%",1.3098,0.9898,1.1429,0.0247,1.1182,1.1677,1012.743055,100.1188,530.34,,
BKBR18,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A,15/10/2024,"DI + 1,35%",--,--,1.8552,0.0603,1.7949,1.9156,1052.515909,99.9724,14,,
BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),24/04/2027,"DI + 1,9%",2.5084,2.05,2.3074,0.2839,2.0235,2.5913,1044.529184,99.2995,443.67,0.35,
BRIT11,BRISANET PARTICIPACOES S.A.,25/08/2027,DI + 2%,1.0566,0.704,0.9101,0.0511,0.859,0.9613,1028.965575,101.8317,426.72,,
BRIT12,BRISANET PARTICIPACOES S.A. (*),10/07/2030,"DI + 1,6%",1.4481,1.1912,1.3394,0.1169,1.2225,1.4563,1033.402329,100.9171,896.62,,
BRKMA6,BRASKEM S/A (*),12/05/2029,"DI + 1,75%",2.6853,2.3324,2.5156,0.1313,2.3843,2.647,1019.047606,97.4853,853.83,,
BRKMA8,BRASKEM S/A (*),09/11/2029,"DI + 1,7%",2.7465,2.3677,2.5506,0.2696,2.281,2.8203,1014.755167,97.0037,917.09,,
BRKMB6,BRASKEM S/A (*),12/05/2032,DI + 2%,2.5812,1.0369,1.7065,0.1277,1.5788,1.8342,1059.360653,101.2471,1085.97,,
BRKMB8,BRASKEM S/A (*),09/11/2032,"DI + 1,95%",2.8755,2.4537,2.6893,0.2065,2.4828,2.8959,1013.809174,96.8208,1120.67,,
BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),15/04/2027,"DI + 2,4%",2.5578,2.2648,2.4297,0.0385,2.3912,2.4684,1057.128473,99.9393,527.36,,
