Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
CEEBB2,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),24/04/2026,"110,25% do DI",109.4096,104.3011,106.6787,0.7463,105.9324,107.4251,10521.261659,100.3934,245.36,,
CEPE20,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/04/2026,111% do DI,111.0103,105,107.74,0.3776,107.3625,108.1177,10553.002876,100.3505,239.59,,
DASAA1,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),10/06/2026,"108,5% do DI",136.1265,123.7689,129.5083,6.672,122.8363,136.1805,10068.211435,97.4294,274.89,,
DASAB0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2024,"110,5% do DI",132.1601,125,128.5393,4.3797,124.1596,132.9191,10300.479247,99.6167,52,,
DASAC0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2026,"112,5% do DI",136.5252,125.4365,131.0511,3.3843,127.6668,134.4354,10020.71123,96.8524,380.32,,
GGBRB6,GERDAU S/A (*) (**),06/05/2026,"107,25% do DI",--,--,107.6978,1.1333,106.5645,108.8312,1042.749624,99.9265,361.76,,
HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**),10/07/2026,"110,55% do DI",111.2245,105.7916,108.2339,1.1993,107.0346,109.4334,1027.383229,100.3108,297.56,,
KLBNA2,KLABIN S/A,19/03/2029,"114,65% do DI",106.8783,103.699,104.9762,0.4084,104.5678,105.3846,10340.043436,103.2102,718.67,0.4,
LORTA5,LOCALIZA RENT A CAR (*) (**),15/04/2026,"107,25% do DI",110.4795,103,106.8049,1.9703,104.8346,108.7753,1050.331319,100.0479,240.13,,
LORTB3,LOCALIZA RENT A CAR (*) (**),15/02/2025,"111,3% do DI",116.9934,110.646,114.1008,1.2735,112.8273,115.3744,5153.966886,99.8827,99,,
LORTD4,LOCALIZA RENT A CAR (*),18/09/2026,"112,32% do DI",113,108,110.5877,0.2998,110.2879,110.8875,7539.379181,100.2996,381.61,,
MULP17,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),25/04/2026,106% do DI,105.0161,101.9062,103.1226,0.5574,102.5652,103.6801,10490.048475,100.3193,247.16,,
PETR36,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2026,"106,25% do DI",107.2583,100.6663,104.5472,0.872,103.6752,105.4194,1023.453634,100.1454,191.77,,
RADL14,RAIA DROGASIL S/A (*) (**),17/06/2027,"106,99% do DI",103.966,101.7977,102.7896,0.4426,102.3469,103.2323,1040.340686,100.9308,486.35,,
SAPR29,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),11/06/2026,"107,25% do DI",120.0866,110.0657,115.1309,0.9971,114.1338,116.1281,10183.924733,98.628,385.89,,
TAEE16,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A (*) (**),15/05/2026,108% do DI,104.7528,101,102.698,2.9163,99.7817,105.6144,1049.977632,100.8911,368.63,,
TFLE15,LOCALIZA FLEET S.A. (*) (**),18/07/2025,112% do DI,--,--,115.1185,0.464,114.6545,115.5825,1019.070597,99.7308,194.99,,
UNDAC2,UNIDAS S/A (*) (**),10/04/2027,"110,5% do DI",115.7507,111.7675,113.8776,1.0886,112.789,114.9664,1047.416211,99.4908,334.84,,
UNDAC3,UNIDAS S/A (*),10/04/2029,112% do DI,117.607,114.171,115.666,0.2658,115.4002,115.9319,1040.003341,98.7178,770.16,,
