Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
CEEBB2,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),24/04/2026,"110,25% do DI",109.093,104.4055,106.48,0.7601,105.7199,107.2402,10528.386255,100.4169,244.32,,
CEPE20,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/04/2026,111% do DI,111.2197,105,107.8041,0.4245,107.3796,108.2287,10557.100306,100.3447,238.53,,
DASAA1,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),10/06/2026,"108,5% do DI",135.0828,124.8766,130.4722,4.933,125.5392,135.4053,10059.621098,97.3039,273.72,0.05,
DASAB0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2024,"110,5% do DI",133.3204,125,129.4287,1.9224,127.5063,131.3512,10303.898803,99.6056,51,,
DASAC0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2026,"112,5% do DI",135.7382,125.1725,130.4405,1.4206,129.0199,131.8613,10034.137491,96.9384,379.17,,
GGBRB6,GERDAU S/A (*) (**),06/05/2026,"107,25% do DI",--,--,107.7355,1.0389,106.6966,108.7744,1043.129275,99.9198,360.62,,
HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**),10/07/2026,"110,55% do DI",110.6088,105.8214,108.2044,1.1056,107.0988,109.31,1027.893171,100.3161,296.46,,
KLBNA2,KLABIN S/A,19/03/2029,"114,65% do DI",106.72,103.815,105.0054,0.4127,104.5928,105.4182,10344.927862,103.2114,716.76,0.1,
LORTA5,LOCALIZA RENT A CAR (*) (**),15/04/2026,"107,25% do DI",110.7445,103.6857,107.1714,2.7307,104.4406,109.9022,1050.369687,100.0085,239.05,,
LORTB3,LOCALIZA RENT A CAR (*) (**),15/02/2025,"111,3% do DI",116.9772,110.6328,114.0898,1.2206,112.8692,115.3105,5156.350715,99.8842,98,,
LORTD4,LOCALIZA RENT A CAR (*),18/09/2026,"112,32% do DI",112.9676,108.25,110.6038,0.3119,110.2919,110.9158,7542.695439,100.2985,380.42,,
MULP17,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),25/04/2026,106% do DI,105.1315,101.9687,103.3912,0.4914,102.8998,103.8827,10491.500172,100.2904,246.08,,
PETR36,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2026,"106,25% do DI",107.2509,100.6129,104.9086,1.262,103.6466,106.1707,1023.576778,100.1147,190.71,,
RADL14,RAIA DROGASIL S/A (*) (**),17/06/2027,"106,99% do DI",104.223,101.85,103.0349,0.9194,102.1154,103.9544,1040.274525,100.8811,484.94,,
SAPR29,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),11/06/2026,"107,25% do DI",120.0733,109.5014,115.1326,0.9035,114.2291,116.0362,10187.426004,98.6194,384.72,,
TAEE16,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A (*) (**),15/05/2026,108% do DI,105.3934,101.2,102.9774,2.8845,100.0929,105.862,1049.994966,100.849,367.48,,
TFLE15,LOCALIZA FLEET S.A. (*) (**),18/07/2025,112% do DI,--,--,115.1837,0.4568,114.7269,115.6406,1019.470664,99.7251,193.99,,
UNDAC2,UNIDAS S/A (*) (**),10/04/2027,"110,5% do DI",115.4709,111.427,113.5713,0.9253,112.646,114.4968,1048.348441,99.5352,333.71,,
UNDAC3,UNIDAS S/A (*),10/04/2029,112% do DI,117.146,113.7612,115.6563,0.2534,115.4029,115.9098,1040.466333,98.7173,768.1,,
