Código,Nome,Repac./ Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Min.,Intervalo Indicativo Máx.,PU,% Pu Par,Duration,% Reune,Referência NTN-B
CEEBB2,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),24/04/2026,"110,25% do DI",109.042,104.9925,106.8852,0.6095,106.2757,107.4948,10510.485513,100.3794,247.21,,
CEPE20,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/04/2026,111% do DI,110.2844,105,107.6667,0.3395,107.3271,108.0063,10545.298265,100.3667,241.47,,
DASAA1,DIAGNÓSTICOS DA AMÉRICA S/A (*) (**),10/06/2026,"108,5% do DI",135.2037,123.8256,129.3678,5.8822,123.4856,135.2501,10055.121414,97.3876,276.68,,
DASAB0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2024,"110,5% do DI",131.007,125,128.2692,4.6882,123.581,132.9575,10290.365305,99.6073,54,,
DASAC0,DIAGNÓSTICOS DA AMÉRICA S/A (*),10/12/2026,"112,5% do DI",136.4347,123.9584,130.3109,1.4479,128.863,131.7589,10017.169362,96.9057,381.87,,
GGBRB6,GERDAU S/A (*) (**),06/05/2026,"107,25% do DI",--,--,107.4938,1.1117,106.3822,108.6056,1042.191383,99.959,363.47,,
HAPV21,HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*) (**),10/07/2026,"110,55% do DI",110.5544,105.8928,108.2339,1.1106,107.1233,109.3446,1026.54595,100.3181,299.33,,
KLBNA2,KLABIN S/A,19/03/2029,"114,65% do DI",106.8366,103.7336,105.3045,0.4078,104.8967,105.7124,10326.522649,103.1702,717.86,0.35,
LORTA5,LOCALIZA RENT A CAR (*) (**),15/04/2026,"107,25% do DI",109.69,103,106.6156,1.8592,104.7565,108.4749,1049.65731,100.0699,242.02,,
LORTB3,LOCALIZA RENT A CAR (*) (**),15/02/2025,"111,3% do DI",116.9634,110.6915,114.1503,1.1879,112.9624,115.3383,5149.093548,99.8775,101,,
LORTD4,LOCALIZA RENT A CAR (*),18/09/2026,"112,32% do DI",113,108,110.5712,0.2724,110.2987,110.8437,7533.332845,100.3096,383.19,,
MULP17,MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**),25/04/2026,106% do DI,104.1577,101.8437,103.1368,0.532,102.6048,103.669,10481.737782,100.3252,249.03,,
PETR36,PETRÓLEO BRASILEIRO S/A - PETROBRAS (*) (**),15/01/2026,"106,25% do DI",106.9289,101.3564,104.7584,1.2245,103.534,105.983,1022.427202,100.1303,193.67,,
RADL14,RAIA DROGASIL S/A (*) (**),17/06/2027,"106,99% do DI",103.78,101.868,102.751,0.396,102.355,103.147,1039.770527,100.9623,487.48,,
SAPR29,COMPANHIA DE SANEAMENTO DO PARANA - SANEPAR (*) (**),11/06/2026,"107,25% do DI",119.86,111.167,115.2789,0.9428,114.336,116.2218,10169.101461,98.5693,387.51,,
TAEE16,TRANS. ALIANÇA DE ENERGIA ELÉTRICA S/A (*) (**),15/05/2026,108% do DI,104.2312,101,102.2383,0.2612,101.9772,102.4996,1050.112612,100.9916,370.35,,
TFLE15,LOCALIZA FLEET S.A. (*) (**),18/07/2025,112% do DI,--,--,115.0335,0.4696,114.5639,115.5032,1018.170265,99.7323,196.97,,
UNDAC2,UNIDAS S/A (*) (**),10/04/2027,"110,5% do DI",115.6425,112,113.8229,0.6132,113.2097,114.4361,1046.447086,99.487,336.37,,
UNDAC3,UNIDAS S/A (*),10/04/2029,112% do DI,117.175,113.8244,115.6271,0.2628,115.3643,115.89,1038.919553,98.7037,768.64,,
